flower.id,flower.ts,flower.title,flower.price,flower.description
1,"2018-01-10 14:53:18","Cream Poinsettia",29.99,"Call or stop by the shop to learn about our colorful and hardy selection of the season's freshest and prettiest poinsettias. They're theperfect gift for everyone on your list!"
2,"2018-01-10 14:53:20","Classic Poinsettia",29.99,"Call or stop by our shop to learn about our colorful and hardy selection of the season's freshest and prettiest poinsettias. They're theperfect gift for everyone on your list!"
3,"2018-01-10 14:53:25","FTD® Christmas Coziness Bouquet",34.99,"The FTD® Christmas Coziness™ Bouquet is an expression of holiday homecoming and heartfelt cheer. Assorted holiday greens, variegated holly, natural pinecones, red berry pics and cinnamon sticks are lovingly arranged in a dark brown bamboo basket accented with an ivory holiday ribbon to create a seasonal sentiment of peace and goodwill. Approximately 11""H x 14""W."
4,"2018-01-10 14:53:30","Evergreen Holly Basket",39.99,"We pack a jolly garden of the season's freshest evergreens and holly into a country basket adorned with glass balls and pinecones."
5,"2018-01-10 14:53:36","Classic Holiday Wreath",49.99,"It's not Christmas without a fresh Christmas wreath on your door! Send the spirit of the season to someone special with this classic piece of holiday decor. The 24-inch wreath is composed of fragrant noble fir and red berries, and is hand delivered by a local florist to ensure maximum freshness."
6,"2018-01-10 14:53:42","All is Bright",52.99,"""All is calm, all is bright"" well, at least we can promise the latter with this luminous arrangement! Gather family and friends together for a holiday meal around this traditional Christmas centerpiece featuring pinecones, holly, noble fir and Christmas candles. 'Tis the season to shine! A fresh centerpiece of holly, noble fir, white pine, flat cedar and miniature red carnations is decorated with golden berries, Christmas ornaments, pinecones and three red taper candles. A sheer, gold-edged organza ribbon adds to the opulence. Approximately 23"" W x 16"" H."
7,"2018-01-10 14:53:50","Teleflora's Sparkle of Christmas Centerpiece",54.95,"Santa's little sparkler! Red roses and white miniature carnations are arranged in our sparkling hand-polished glass bowl to create this stunning holiday centerpiece."
8,"2018-01-10 14:53:56","Mercury Glass Bowl Bouquet",54.99,"A classic holiday centerpiece shines in our signature Mercury Glass Bowl. Festive Christmas greens, red berries and holly mix with red roses and pinecones below glowing red candles for a stunning centerpiece worthy of your celebration."
9,"2018-01-10 14:53:58","Christmas Wishes Centerpiece",54.99,"Your wishes for a classic Christmas centerpiece have come true! This elegant arrangement features two glowing red taper candles atop a bed of noble fir, white pine and luxurious roses. Red and white roses are mixed with festive noble fir, white pine and variegated holly beneath two red taper candles. Red berries and pinecones add to the Christmas fun. Approximately 21"" W x 17"" H."
10,"2018-01-10 14:54:03","FTD® Holiday Classics Centerpiece by Better Homes and Garden",54.99,"FTD® proudly presents the Better Homes and Gardens® Holiday Classics™ Centerpiece. Drawing from the rich traditions of holiday décor, this festive centerpiece is set to lend its seasonal beauty to your holiday celebrations. Bright red roses, carnations and mini carnations are arranged amongst an asoortment of holiday greens, accented with natural pinecones and a designer red and green striped ribbon. Encircling 2 red taper candles, this lovely centerpiece will bring warmth and Christmas charm to your holiday gatherings with each graceful bloom."
11,"2018-01-10 14:54:11","FTD® Celebration of the Season Centerpiece",56.99,"The FTD® Celebration of the Season™ Centerpiece is a grand display of holiday elegance. Red roses and spray roses pop against a backdrop of assorted holiday greens and variegated holly that beautifully encircle three red taper candles. Accented with gold pinecones and gold metallic brocade ribbon, this centerpiece creates a warm and enchanting glow to benefit their holiday festivities."
12,"2018-01-10 14:54:16","Teleflora's Snoopy's Cookie Jar",59.95,"This charming, commemorative Teleflora Exclusive 50 Years: A Charlie Brown Christmas cookie jar captures a sleeping Snoopy on top of his beloved red doghouse. Hand-painted, hand-glazed and filled with fresh flowers!"
13,"2018-01-10 14:54:23","Royal Christmas Centerpiece",59.99,"Fit for royalty! Dress up your Christmas dinner with this elegant white and gold centerpiece or send it as a festive holiday gift to someone you especially treasure. Delicate white alstroemeria sit softly amongst Christmas greens including variegated holly, flat cedar, noble fir and white pine. Golden pinecones, mesh ribbon, ornaments and berries echo the golden glow of three glamorous taper candles. Approximately 23"" W x 17"" H."
14,"2018-01-10 14:54:28","FTD® Spirit of the Season Bouquet",62.99,"The FTD® Spirit of the Season™ Bouquet bursts with cheer to dazzle your special recipient with its holiday beauty. Brilliant red spray roses and mini carnations are brought together with burgundy mini carnations, red hypericum berries and assorted holiday greens in a clear glass vase accented with a thick red designer ribbon to create a special sentiment of seasonal wishes and caring kindness."
15,"2018-01-10 14:54:32","Kinkade: A Kiss for Santa",72.99,"A Kiss for Santa, the late Thomas Kinkade's hand-painted, sculpted light-up keepsake house. The arrangement which accompany's the house is red roses, white carnations, holly, and pine."
16,"2018-01-10 14:54:37","Thomas Kinkade's Jolly Santa Bouquet",79.95,"An instant Christmas classic! A two-in-one holiday gift, this festive arrangement of red roses, white carnations and fresh winter greens is hand-delivered with a delightful Thomas Kinkade sculpture depicting children sharing their holiday wishes with Santa. The hand-painted, hand-sculpted Christmas collectible has a warm glow and whimsical appeal that will make it a forever favorite!"
17,"2018-01-10 14:54:42","A Designer Choice Bouquet",29.99,"Many times it's hard to decide what to send, because we do offer a lot of choices. A Designers Choice Bouquet allows our florist to select the best in season flowers and foliage's for your order, giving you the best value possible for your dollar. Let our florist go to work for you! We'll pick the freshest stems in stock, put them together beautifully for any occasion. Upgrade bouquet options: We'll add more flowers/green that compliment the arrangement, making a larger, fuller, more colorful bouquet."
18,"2018-01-10 14:54:44","The Pink Lily Bouquet",34.99,"This sweet bouquet is an expression of your love and affection. Fragrant pink Stargazer lilies are accented with pink statice and arranged in a clear glass vase. Send it for birthday, anniversary, get well, or just because you care. Lilies may arrive in various stages of development. The lily blooms will continue to open, extending arrangement life - and your recipient's enjoyment."
19,"2018-01-10 14:54:48","Teleflora's Sweet Thoughts",36.99,"A graceful heart of bear grass... tied with purple waxflower blossoms... forms a heart that appears to float above the velvety red roses in this delightful bouquet, arranged in a ruby-red cube vase. Send this beautiful floral arrangement to someone you love, and they'll think sweet thoughts about you!"
20,"2018-01-10 14:54:50","Teleflora's How Sweet It Is",36.99,"Seeking out a fine bouquet that's darling and delightful? This charming mix of fresh blooms in ripe, fruity shades of raspberry, peach and cherry is a tempting pick-me-up for any day of the week. Send one to a favorite friend to brighten up their day."
